Site_ID,Technology,Vendor,Region,RRC_Success_Rate,ERAB_Drop_Rate,DL_Throughput,UL_Throughput,PRB_Utilization_DL,PRB_Utilization_UL,RSRP_Avg,RSRQ_Avg,SINR_Avg,CQI_Avg,Critical_Alarms_Count,Major_Alarms_Count,VSWR_Alarm,GPS_Sync_Alarm,Transmission_Alarm,CPU_Utilization,Memory_Usage,DL_User_Count,UL_User_Count,Cell_Health
SITE_23,4G,Ericsson,UPW,71.6840831,2.292989718,7.29435994,44.29467169,37.16284327,20.54590951,-110.5849637,-16.19576743,5.281665556,8.644699046,1,3,0,0,1,74.86534976,89.57593273,170,95,0
SITE_24,4G,Nokia,UPW,95.5818406,2.804372317,80.80022053,14.26037974,13.36572914,53.23267268,-119.0986475,-4.146886541,4.70713666,9.264384413,3,5,0,0,1,69.64455489,68.81471548,46,141,0
SITE_25,5G,Huawei,UPE,76.7662399,4.319807904,73.27576665,10.51398058,55.48287309,37.04565552,-101.2372023,-11.7022244,12.50810176,14.08512734,3,4,0,1,1,28.82904564,27.26694145,180,73,0
SITE_26,4G,Nokia,UPE,81.30742494,2.406666883,100.1279782,24.24730979,46.27281802,87.01893113,-84.7113776,-9.282382034,0.621110125,1.119968951,0,0,0,0,0,60.92060193,77.73152515,71,9,0
SITE_27,5G,Nokia,Delhi,83.85198441,4.488373363,86.1389339,1.359373391,67.1100821,28.25107247,-111.7030096,-7.517375481,6.923989825,1.669195935,0,5,1,0,1,51.93397595,43.17861091,70,221,0
SITE_28,5G,Nokia,Chennai,84.42718002,3.371744895,104.6206768,2.26466025,65.906769,38.97093018,-94.43265774,-13.69119645,6.339274615,3.680907739,1,8,0,1,0,82.57496824,12.89221284,87,158,0
SITE_29,4G,Ericsson,Delhi,83.05541198,0.684995315,100.4219748,28.11124134,20.86719723,88.54311002,-86.86071016,-7.758271873,15.54964806,3.34221932,2,2,0,0,0,49.25413161,35.71370222,109,151,0
SITE_30,5G,Nokia,UPE,98.12059883,4.974906847,21.9667001,26.5020208,97.92689915,50.59998325,-84.06701431,-8.508127674,-2.666119487,3.536722433,1,2,0,0,1,16.49684872,71.08409872,291,162,0
SITE_31,4G,Ericsson,Mumbai,91.18057023,2.636163304,120.9590975,49.73451746,26.82382865,47.72355983,-103.5352967,-8.003791324,24.03840381,10.4072144,0,1,1,1,1,5.447523679,86.81649657,190,232,0
SITE_32,4G,Ericsson,UPE,88.93511938,1.959291482,22.86872348,10.89024993,50.07466223,26.9111715,-95.99822184,-11.6830917,14.68324331,7.432766215,1,3,0,1,1,66.00858084,32.0909133,288,52,1
SITE_33,3G,Ericsson,Chennai,71.49526083,3.295568822,106.2869407,13.64709253,53.93057891,64.61590263,-73.29964626,-13.4900645,18.47893383,14.8849043,0,9,1,1,0,54.49175484,29.72130595,8,116,0
SITE_34,3G,Huawei,UPE,97.11739991,0.54446657,65.34107831,6.563491474,83.17565175,6.221700901,-63.52711835,-16.2246028,19.60828663,4.176402807,1,2,0,0,1,34.78666139,55.08932685,142,148,1
SITE_35,3G,Ericsson,Chennai,97.28170576,3.182693234,79.50835651,45.95960747,18.93066365,9.208573525,-68.28718013,-5.981352002,5.201944789,5.351621414,2,1,0,1,1,20.2074935,74.93471197,183,203,0
SITE_36,4G,Ericsson,Chennai,93.4063919,2.491180002,135.9782121,39.11275098,48.57798513,55.94547991,-86.1429899,-9.658049209,11.46300486,14.77937004,1,0,0,0,0,47.00437902,69.72205457,241,22,1
SITE_37,4G,Huawei,Chennai,70.21087611,2.03337035,134.0331403,41.29461646,66.56519532,34.04233877,-95.38243182,-12.44601267,28.46860846,12.64461397,2,2,0,1,1,14.02578252,54.79671221,22,188,1
SITE_38,5G,Ericsson,Chennai,71.71840753,4.765100106,123.5891643,45.23542561,29.36400595,86.03189164,-100.0226031,-3.952069586,21.83468333,7.577189089,2,9,0,0,1,35.24976403,60.51117453,13,153,0
SITE_39,4G,Nokia,Chennai,76.75671107,2.612698584,78.97151517,26.72009935,66.47211089,81.77120871,-112.502606,-19.18674019,28.93449063,8.764356398,1,5,0,0,0,39.12907156,29.36791659,33,35,0
SITE_40,4G,Nokia,Mumbai,73.94048224,1.095587397,111.7547725,23.10846638,93.12983538,65.66503199,-113.6069252,-5.547076932,21.11890208,12.80449089,2,8,1,1,0,46.90568254,44.6059412,148,133,0
SITE_41,4G,Ericsson,Delhi,81.96508089,2.294817397,79.37007305,17.18918221,99.77663181,74.5423744,-78.69854251,-3.04109592,1.14600489,7.733723445,2,4,0,0,0,46.99586762,30.42925012,153,135,0
SITE_42,4G,Huawei,UPW,97.67869174,4.596937023,131.092882,29.8715161,12.92059691,61.72320722,-104.412335,-4.921984115,-2.741244065,3.88433213,0,2,0,0,0,28.13050791,80.75343799,68,227,1
SITE_43,3G,Nokia,Delhi,84.16181303,0.880477357,63.40249582,23.25964144,31.20294054,15.67447873,-104.7202988,-6.222578045,15.21815029,12.59822354,0,4,0,1,0,81.51898834,19.00436059,191,29,1
SITE_44,4G,Huawei,Chennai,70.40207879,1.069785193,145.6841249,23.12671374,37.92764042,70.07118642,-60.10829673,-13.63679811,7.52346479,8.528814878,2,4,1,0,1,36.99891556,64.37924463,231,249,1
SITE_45,5G,Huawei,Mumbai,78.48237069,0.065147839,140.1867999,46.90946532,45.92134904,22.86631734,-108.7244425,-16.0676589,4.641026855,3.14259636,3,4,0,0,1,25.6628578,30.82265577,122,12,1
SITE_46,4G,Nokia,UPE,71.33784725,0.070950247,112.5323798,49.2175442,31.80314418,32.49264268,-111.1164144,-7.507541152,23.25238487,8.078201637,1,6,1,0,0,20.82288951,48.04619278,258,197,1
SITE_47,5G,Huawei,Mumbai,71.08862868,4.146958135,45.51530321,40.02773508,28.31391951,74.63490803,-114.0788863,-14.82221877,7.844764348,6.784847328,2,4,0,1,1,34.03205551,33.95302242,35,66,0
SITE_48,5G,Nokia,Chennai,78.27159559,3.660613034,24.08977038,38.08114642,95.90984582,50.60467671,-85.21167929,-17.0073254,6.095033941,13.27579545,1,6,0,1,1,11.07975947,35.85962536,165,139,0
SITE_49,4G,Huawei,Mumbai,78.26837016,1.775205282,128.9320003,34.34734993,92.66694425,78.09496071,-82.32817044,-6.629059919,24.74956576,2.764776039,0,8,1,1,0,7.961677068,30.83144109,219,11,0
SITE_50,3G,Nokia,Mumbai,93.61379808,3.491555786,28.96883149,9.137667764,14.22932509,23.10800219,-98.08632442,-14.68675791,24.62005678,13.25293726,1,4,1,1,0,59.46279771,70.2234337,173,140,0
SITE_51,5G,Ericsson,Chennai,99.24503958,1.976029632,128.8678144,3.896185223,40.49317194,56.66116728,-87.87519987,-4.454490599,7.472832321,8.170954235,2,1,0,1,0,60.72324224,39.25726857,85,23,0
SITE_52,3G,Nokia,Mumbai,81.13621282,4.76448398,76.16092597,34.84558944,46.46336983,12.12223267,-72.69602814,-5.709245038,24.13745453,6.66110202,2,4,1,1,1,52.66293824,68.10856142,50,149,0
SITE_53,3G,Nokia,UPW,82.86660637,4.835263407,63.95073365,36.71052489,31.51130812,59.66018445,-70.9137499,-5.590114398,24.77724716,3.267540582,2,7,1,1,0,73.60566757,46.48559441,53,143,0
SITE_54,5G,Nokia,UPW,95.34368309,1.963968879,135.9626629,3.301676564,66.59856073,69.81539321,-62.52527546,-6.883314657,9.837568726,10.81145148,2,3,0,1,1,8.523548985,53.77968337,287,115,0
SITE_55,3G,Nokia,Mumbai,78.0441706,4.271109532,92.55839247,46.47453576,67.6342672,54.71912599,-70.54392084,-5.025015796,-2.673440443,13.97529393,3,1,0,0,1,89.23757974,53.46299806,92,237,1
SITE_56,4G,Huawei,UPE,74.69145413,3.865445208,88.60903103,5.465891333,86.54538055,27.62967763,-86.1095138,-6.302302833,-4.944537444,6.255282955,3,9,0,0,1,13.55586109,88.06816635,125,181,0
SITE_57,4G,Ericsson,Chennai,95.5926887,1.549999686,86.02106197,15.00912615,76.67823415,7.664126853,-109.220582,-9.757306819,13.3152362,4.382190009,3,2,1,0,1,65.6620695,39.36499646,7,15,0
SITE_58,4G,Nokia,UPW,71.39501759,1.160199145,58.81957982,33.94710083,58.83159943,15.15315514,-114.0141865,-14.97101378,7.042642268,8.768136838,2,8,0,0,0,17.005693,26.61472763,231,234,1
SITE_59,4G,Huawei,UPE,88.59098321,2.291173252,118.91825,9.323757126,68.8228093,57.89575322,-116.7292866,-4.900443715,29.8996163,12.14660328,3,8,0,1,1,84.191489,82.94335523,83,45,0
SITE_60,4G,Ericsson,Mumbai,86.85978542,3.906744203,41.65577438,3.715378534,34.65899034,84.42571843,-80.00845009,-5.709738413,22.03438499,1.052747724,1,7,1,0,0,50.96419583,23.98714315,149,194,0
SITE_61,4G,Ericsson,UPE,80.37761343,4.800838924,141.1397692,17.22617797,63.3750571,22.55542434,-71.54782468,-11.96105152,21.64464097,9.83928411,2,7,1,0,1,12.40641869,76.75382767,246,118,0
SITE_62,3G,Ericsson,Delhi,79.45568563,3.817895344,134.6278547,38.53260717,54.03045293,67.47722267,-89.47896296,-19.33566234,28.43349689,9.35122401,0,7,0,0,0,60.50517014,22.01719164,36,184,0
SITE_63,4G,Ericsson,UPW,93.15573179,4.276034925,53.93464722,21.27025527,22.00100206,78.64834038,-116.7171495,-9.144756634,26.07035393,5.454130601,2,7,1,0,0,5.819894949,62.69794674,267,198,1
SITE_64,4G,Nokia,Mumbai,72.59273832,3.015321531,110.7722466,32.99567317,31.82898489,49.27498517,-87.87176552,-19.13985349,6.136561781,7.31992205,1,7,1,0,0,74.84199606,22.04326506,215,200,0
SITE_65,5G,Nokia,Chennai,77.10352928,4.177039154,88.1173632,29.40133576,36.25241056,61.88759265,-63.85504431,-4.253240649,0.809552756,4.457485138,3,0,1,1,1,63.5526488,83.84686554,75,246,0
SITE_66,4G,Huawei,Mumbai,91.97346196,3.92210429,53.95914879,2.088705619,93.18786103,74.27630192,-84.14320854,-3.652268637,21.10622928,12.05840033,2,5,0,1,1,24.13622744,55.20066261,201,96,0
SITE_67,3G,Huawei,Chennai,86.44961751,1.88492771,148.335639,49.43845937,30.73479754,27.15738841,-71.43435069,-16.77866752,8.239586279,9.883489067,3,8,0,0,1,38.72758246,36.34190713,62,229,1
SITE_68,4G,Huawei,Mumbai,73.83964626,2.759951511,8.659415148,3.029976352,36.03195125,30.23613231,-71.9908411,-8.501380573,11.56104281,8.457962709,2,7,0,0,0,5.702602504,21.225822,116,79,0
SITE_69,3G,Ericsson,UPE,96.46406843,4.02376561,41.63367444,48.42233414,43.24187171,5.053338913,-64.07225401,-18.43142692,17.06392059,6.495366778,1,2,1,0,1,67.43154335,39.69537889,52,71,1
SITE_70,5G,Ericsson,UPE,81.8034354,0.230283671,80.41073886,27.94334474,69.73684648,86.86300113,-73.78627406,-7.598212214,26.77554369,5.079381404,2,0,0,0,1,34.04013238,66.40160279,189,172,0
SITE_71,4G,Nokia,UPE,94.83605126,4.040396412,80.6831855,48.19479233,20.64145532,82.99131604,-75.13796916,-14.09610968,9.668071378,12.5183108,3,1,0,1,1,56.44300238,40.79607071,169,9,1
SITE_72,4G,Ericsson,Delhi,93.63139047,0.88944062,90.39529587,6.622926371,95.85506912,69.98830242,-105.9538401,-8.422148101,22.41609116,7.319707386,3,1,1,0,0,91.10548651,29.68753089,219,120,1
SITE_73,3G,Ericsson,Chennai,88.73276339,2.573418086,113.9930449,25.03001744,87.90140981,11.72146178,-116.4044907,-13.66109934,4.391892695,8.020263878,1,6,1,1,1,31.95200417,56.19275586,125,217,1
SITE_74,5G,Ericsson,UPE,84.83443394,4.041377198,95.40428543,9.305700501,61.94944657,43.03774562,-88.9440321,-17.52535233,19.42901268,8.291602228,2,5,0,0,1,94.12140957,43.42574823,217,154,0
SITE_75,5G,Huawei,Delhi,99.38652521,1.269105391,92.04081178,3.497768974,70.66340807,13.66079909,-112.5339475,-13.09613033,-4.944720262,7.277137096,0,1,1,1,0,61.94555474,23.26449888,45,122,1
SITE_76,5G,Huawei,Chennai,74.34895217,1.229037197,12.75959712,31.25892664,11.49944241,6.353222717,-62.26824742,-18.08455005,25.50275247,4.585237967,2,7,0,1,0,26.78797997,22.31903922,293,169,0
SITE_77,4G,Nokia,Mumbai,91.75467183,2.013821992,59.59689173,11.18138763,40.50502978,57.37555204,-102.6045142,-10.19298433,-3.936714702,2.684766163,1,8,0,1,0,44.31000947,66.59695922,172,15,1
SITE_78,4G,Ericsson,Delhi,75.73572104,4.473213988,38.64808226,29.7971539,81.60942076,86.67050045,-68.8233478,-19.30382395,19.94638142,2.37952174,0,6,0,0,0,71.64078101,87.97375164,38,48,0
SITE_79,4G,Ericsson,UPW,80.14789316,0.002213907,43.47866618,6.505859616,16.97346764,81.74378199,-96.74252249,-11.03556545,-3.380963376,11.60447533,1,3,1,0,0,45.18301169,28.64752567,279,218,0
SITE_80,3G,Nokia,Delhi,79.2609623,4.506915483,85.37893378,17.2673371,35.40824508,64.22415927,-100.608345,-4.931732999,4.318599479,4.129389512,2,0,1,1,0,11.16568106,71.85188807,201,237,0
SITE_81,5G,Ericsson,Delhi,98.41107963,0.769035123,33.92827066,39.29999534,62.67671455,13.21444965,-63.89048566,-5.756154408,12.40208412,1.779419409,0,3,0,0,1,20.17432952,17.0085362,195,185,0
SITE_82,4G,Ericsson,Chennai,99.02068533,4.95043188,47.62261965,22.41552457,33.07717249,28.3039432,-98.20064567,-4.992711106,9.697853987,12.16524369,1,3,0,0,1,76.21679712,40.52607352,225,81,0
SITE_83,4G,Huawei,Mumbai,75.49046333,4.774234965,39.37728274,31.75952533,94.05801767,32.20482179,-96.58272548,-4.325170364,1.714264011,3.15686314,3,7,0,1,0,63.35357681,50.53505222,14,122,0
SITE_84,4G,Nokia,UPW,70.66105481,2.473375948,142.5329268,32.7254391,21.79527677,69.86775491,-113.6344932,-18.22302591,6.68352191,9.752045284,0,3,0,0,1,56.28429296,31.49975562,124,120,0
SITE_85,4G,Nokia,UPE,91.60024119,2.563601239,141.9765312,42.34399716,81.76549221,73.19118023,-79.77320008,-17.81129755,20.46972295,5.7410058,0,3,1,1,0,20.08597737,52.36627332,127,193,1
SITE_86,5G,Nokia,UPE,82.53969802,2.407746701,93.441526,16.92121693,55.71538227,37.73402045,-102.6696351,-10.53088429,18.42399824,2.770723594,1,1,0,0,1,80.39817008,80.60915421,251,71,0
SITE_87,5G,Nokia,Delhi,72.66520735,3.177218228,139.055758,34.67748257,77.52976982,40.52013971,-84.86374993,-4.802464637,-2.486489568,6.80273371,3,9,0,0,0,91.46660986,85.55503699,225,17,0
SITE_88,3G,Huawei,Chennai,90.51262317,0.453608511,118.9428336,48.11917455,37.96437955,8.783268338,-84.51889776,-3.436059239,21.1560539,1.207324056,0,6,1,1,0,8.679838774,18.04455635,265,96,1
SITE_89,4G,Huawei,Chennai,86.35316585,0.163089742,90.54244301,36.78192338,56.30406421,29.57662107,-76.84801826,-19.21354741,-3.143394158,12.77462976,1,3,0,1,1,12.02286836,31.74767472,62,15,0
SITE_90,4G,Ericsson,UPE,99.41550466,0.288514642,5.933105667,25.00365336,87.11518148,43.35924006,-75.28551083,-13.95184057,14.00242362,8.188971459,0,5,0,1,1,84.6252053,88.3307134,132,143,0
SITE_91,5G,Ericsson,UPW,76.82228488,2.221826746,117.0148615,31.90515478,52.01902892,14.94355894,-89.13285394,-16.38079767,4.102196181,2.948240153,0,2,0,1,1,78.39970286,31.63347283,191,89,0
SITE_92,5G,Ericsson,Mumbai,82.11933629,1.377739696,106.8608095,37.24446199,42.37478757,43.52773416,-100.1404831,-7.148580568,15.56915446,4.317724457,0,6,0,0,1,60.614101,65.41658809,209,248,0
SITE_93,5G,Ericsson,UPW,86.2763741,3.110197812,94.21177973,31.00151252,58.25398476,77.51994404,-69.75294631,-9.116704235,4.146493858,7.27165269,3,5,0,0,1,90.04686881,30.27629551,90,89,0
SITE_94,5G,Huawei,Mumbai,93.75099965,4.962211447,115.2615252,1.817114861,74.56264777,54.41228668,-101.408061,-17.96190346,29.47352894,3.644171359,2,2,1,0,1,63.17875202,38.50924747,108,139,0
SITE_95,4G,Nokia,UPE,86.4651597,1.931615865,79.37371389,10.54390139,49.92070109,11.70903768,-89.54945433,-11.78012485,5.84048643,4.760388261,2,3,1,1,1,24.43867482,25.30231903,147,21,1
SITE_96,5G,Huawei,Mumbai,88.38700483,2.869206271,107.0920743,40.71294264,94.49892776,21.2920621,-95.92484501,-8.34751112,3.468622249,8.481397899,3,9,1,0,1,70.57780913,78.5040155,209,52,0
SITE_97,4G,Ericsson,Chennai,76.78441155,2.07801948,140.5999526,14.35988172,36.54512416,45.33626976,-68.69529684,-6.756908303,4.746285182,12.65652618,3,4,1,0,0,63.11393103,80.61190111,133,146,0
SITE_98,4G,Huawei,Delhi,95.40756184,4.236358339,59.4917273,36.84654386,52.79172456,35.72640773,-94.08488813,-19.65910393,26.37655,6.6257556,1,8,0,0,1,93.71702318,33.75300063,250,195,1
SITE_99,4G,Nokia,Delhi,82.85891641,4.511182017,107.6776661,19.23389055,78.12348934,35.49179666,-96.83404867,-4.862017242,17.267659,11.03765383,0,5,1,1,1,24.25061627,75.88718593,42,196,0
SITE_100,4G,Nokia,UPE,74.22878883,4.386778061,73.97473361,26.57233208,72.02089814,49.98773309,-78.61057843,-10.32221649,20.57394341,13.27357899,3,3,1,1,0,58.80964427,38.659332,113,101,0
SITE_101,5G,Huawei,Chennai,89.92563744,4.871861193,102.7879495,4.330691691,87.72769472,54.67365334,-83.85353341,-6.197545046,27.13036785,4.028213164,1,6,1,0,0,75.215077,17.92155383,56,79,1
SITE_102,4G,Huawei,UPW,76.4827136,0.137595926,115.6195337,9.880052491,99.71282626,72.73323347,-113.56519,-6.26505349,26.91553697,12.30068759,2,1,1,0,0,35.50847804,70.64611178,5,209,0
SITE_103,5G,Huawei,Chennai,72.92687531,4.199080811,11.59061256,47.90265121,48.41724959,33.98215789,-89.50987162,-16.77250478,20.86310463,11.60363078,2,3,1,1,0,39.17116248,57.71569991,15,197,1
SITE_104,3G,Ericsson,Delhi,95.85960725,3.758860865,98.75706437,44.61676462,20.00357918,73.46463406,-75.8712967,-18.12707396,1.923855009,5.997122171,2,4,1,1,1,84.91116545,31.95059549,239,166,0
SITE_105,4G,Huawei,Delhi,83.80486793,1.143472047,37.87747174,32.96148043,12.73742927,33.78195447,-60.47551412,-7.738116427,24.51806622,14.85327943,2,3,1,1,1,41.37753916,30.23997924,132,141,1
SITE_106,4G,Huawei,Chennai,92.47851138,4.781600467,102.154718,23.52258527,75.41892155,9.71180406,-82.25118996,-17.34074238,2.132161197,4.6760132,1,3,1,1,0,61.22595667,88.04986964,218,81,0
SITE_107,5G,Huawei,Chennai,78.71762679,0.740889641,72.90787696,34.11230335,88.66123042,52.10595034,-97.78241601,-5.551062646,21.00145849,4.567245724,0,8,0,0,0,85.03143238,79.00008327,247,132,0
SITE_108,4G,Nokia,Delhi,93.60910405,3.397749636,117.1651476,31.31190417,29.86413273,54.97169762,-106.430904,-7.654778774,18.99610733,11.81162831,1,1,1,1,1,23.88439248,74.78386635,48,41,0
SITE_109,4G,Nokia,UPW,73.35807781,1.124451084,22.8931182,28.85906052,24.26032335,84.43592088,-67.63018595,-5.688968806,21.56110975,7.085202453,0,5,0,0,1,93.36895667,20.24141669,10,34,1
SITE_110,4G,Ericsson,UPE,80.67920121,2.156903244,95.81674099,3.899676521,15.59845824,66.71521272,-71.12608727,-14.91678445,13.64399882,5.631129927,2,7,1,1,1,68.17581806,70.41498194,160,173,1
SITE_111,4G,Ericsson,UPE,99.34185454,3.595799485,45.37825569,32.00732792,84.04326295,83.01067546,-105.9646308,-14.61783297,17.35541638,3.501279275,3,7,1,0,1,49.65095247,27.1632177,12,177,0
SITE_112,3G,Nokia,Chennai,93.81969149,2.81662321,128.6823893,38.67708218,38.02437459,82.20951287,-107.9620746,-8.589233542,28.36620282,11.71465403,3,6,1,0,0,43.78285079,88.19111546,9,233,1
SITE_113,3G,Nokia,UPE,84.91767791,2.137509157,139.6156083,49.71000108,46.15272035,56.38879937,-77.09179339,-19.46541876,-1.461899204,12.00850529,3,9,0,1,1,90.8928154,14.16713504,186,51,0
SITE_114,5G,Nokia,Delhi,80.19332415,1.631692155,149.4777526,1.542849077,55.24751724,49.85977555,-101.1028763,-7.649555312,5.809654617,8.931896045,0,3,0,0,0,23.51523448,38.17107868,116,139,0
SITE_115,3G,Huawei,Delhi,96.164071,4.198298279,120.4210734,36.77849921,85.55079108,52.38248221,-101.6160721,-5.791687795,16.39749546,14.40239058,2,6,1,0,0,33.05149312,44.29182726,277,146,0
SITE_116,3G,Huawei,Chennai,86.34543277,0.719071752,114.2914402,29.01767648,68.57498994,88.15811865,-110.8625852,-12.94221903,28.74189455,5.454285786,1,9,0,0,0,32.701348,75.93623292,269,52,1
SITE_117,4G,Nokia,Chennai,92.75275054,2.150514383,36.24761004,22.26855663,65.35581669,70.7192538,-104.1614688,-6.997059888,-1.654894332,4.074666637,3,5,1,1,1,31.01057013,71.29782544,216,138,1
SITE_118,3G,Huawei,Chennai,92.62323041,4.518787859,53.72102355,7.250938554,25.810489,14.03260191,-94.34954654,-17.03161441,-4.210777246,10.48453477,0,5,0,1,0,47.16842407,39.9993716,82,38,0
SITE_119,5G,Huawei,UPW,70.53837036,4.229247752,72.52396856,21.04517228,56.18709025,71.16641458,-76.02969976,-14.52157331,-3.048764054,11.61772097,3,1,0,1,1,94.02613099,55.24482348,274,212,1
SITE_120,3G,Ericsson,UPE,73.78761348,2.004708812,117.1402519,18.36448197,74.38429155,19.49573416,-99.82151434,-3.436815627,-3.165800974,4.148683588,1,7,0,0,0,84.990809,76.84761309,158,247,0
SITE_121,3G,Nokia,Chennai,89.78888099,3.815541818,137.6700504,15.83866456,97.59347947,43.02479667,-100.2837396,-3.232421049,26.77355502,2.0725507,2,7,1,0,1,34.51546115,11.45596737,225,105,0
SITE_122,4G,Nokia,Mumbai,74.84859434,4.115804154,32.4251695,36.81310154,28.12656783,22.88907214,-102.9052048,-11.2857141,20.24402678,12.34723081,1,6,0,0,0,43.05831042,74.17424796,29,232,0
SITE_123,4G,Huawei,Mumbai,77.66480034,4.44443712,138.7432853,35.33555054,10.85890178,63.61456057,-91.30297995,-4.117413545,18.69872282,14.67102763,2,8,0,0,0,65.25326717,85.75168203,212,50,1
